category_id,meta,category,type,pod
13005048,13,"Food and Drink,Restaurants,Burrito",place,eo
13005049,13,"Food and Drink,Restaurants,Burgers",place,eo
13005050,13,"Food and Drink,Restaurants,Breakfast Spot",place,eo
13005051,13,"Food and Drink,Restaurants,Brazilian",place,eo
13005052,13,"Food and Drink,Restaurants,Barbecue",place,eo
13005053,13,"Food and Drink,Restaurants,Bakery",place,eo
13005054,13,"Food and Drink,Restaurants,Bagel Shop",place,eo
13005055,13,"Food and Drink,Restaurants,Australian",place,eo
13005056,13,"Food and Drink,Restaurants,Asian",place,eo
13005057,13,"Food and Drink,Restaurants,American",place,eo
13005058,13,"Food and Drink,Restaurants,African",place,eo
13005059,13,"Food and Drink,Restaurants,Afghan",place,eo
14000000,14,Healthcare,place,
14001000,14,"Healthcare,Healthcare Services",place,
14001001,14,"Healthcare,Healthcare Services,Psychologists",place,
14001002,14,"Healthcare,Healthcare Services,Pregnancy and Sexual Health",place,
14001003,14,"Healthcare,Healthcare Services,Podiatrists",place,
14001004,14,"Healthcare,Healthcare Services,Physical Therapy",place,
14001005,14,"Healthcare,Healthcare Services,Optometrists",place,
14001006,14,"Healthcare,Healthcare Services,Nutritionists",place,
14001007,14,"Healthcare,Healthcare Services,Nurses",place,
14001008,14,"Healthcare,Healthcare Services,Mental Health",place,
14001009,14,"Healthcare,Healthcare Services,Medical Supplies and Labs",place,
14001010,14,"Healthcare,Healthcare Services,Hospitals, Clinics and Medical Centers",place,
14001011,14,"Healthcare,Healthcare Services,Emergency Services",place,
14001012,14,"Healthcare,Healthcare Services,Dentists",place,
14001013,14,"Healthcare,Healthcare Services,Counseling and Therapy",place,
14001014,14,"Healthcare,Healthcare Services,Chiropractors",place,
14001015,14,"Healthcare,Healthcare Services,Blood Banks and Centers",place,
14001016,14,"Healthcare,Healthcare Services,Alternative Medicine",place,
14001017,14,"Healthcare,Healthcare Services,Acupuncture",place,
14002000,14,"Healthcare,Physicians",place,
14002001,14,"Healthcare,Physicians,Urologists",place,
14002002,14,"Healthcare,Physicians,Respiratory",place,
14002003,14,"Healthcare,Physicians,Radiologists",place,
14002004,14,"Healthcare,Physicians,Psychiatrists",place,
